Course_ID,Course_Name,Category,Skill_Level,Skills,Interest,Education,Career_Goal,Duration_Months,Rating,Difficulty,Job_Role,Salary_Range
C0001,Artificial Intelligence,AI & ML,Advanced,"Python, Machine Learning, Algorithms",Artificial Intelligence,Diploma,Data Scientist,6,4.1,Hard,AI Engineer,8-12 LPA
C0018,DevOps,Cloud,Advanced,"Linux, Git, Docker, CI/CD",DevOps,BE/BTech,Cloud Engineer,4,4.8,Hard,DevOps Engineer,4-7 LPA
C0029,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,12th Pass,Cyber Security Engineer,5,4.1,Hard,Ethical Hacker,5-8 LPA
C0038,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,12th Pass,Security Analyst,5,4.6,Hard,Ethical Hacker,3-5 LPA
C0044,DevOps,Cloud,Advanced,"Linux, Git, Docker, CI/CD",DevOps,BCA,Cloud Engineer,6,3.9,Hard,DevOps Engineer,3-5 LPA
C0049,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,BSc IT,Security Analyst,5,4.3,Hard,Ethical Hacker,3-5 LPA
C0060,Deep Learning,AI & ML,Advanced,"Python, TensorFlow, Neural Networks",Artificial Intelligence,Diploma,Data Scientist,6,4.9,Hard,Deep Learning Engineer,5-8 LPA
C0075,Deep Learning,AI & ML,Advanced,"Python, TensorFlow, Neural Networks",Artificial Intelligence,BCA,AI Developer,6,4.6,Hard,Deep Learning Engineer,8-12 LPA
C0078,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,BE/BTech,Cyber Security Engineer,6,4.4,Hard,Ethical Hacker,3-5 LPA
C0086,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,BCA,Cyber Security Engineer,6,4.1,Hard,Ethical Hacker,5-8 LPA
C0095,Deep Learning,AI & ML,Advanced,"Python, TensorFlow, Neural Networks",Artificial Intelligence,12th Pass,AI Engineer,6,4.5,Hard,Deep Learning Engineer,3-5 LPA
C0122,Deep Learning,AI & ML,Advanced,"Python, TensorFlow, Neural Networks",Artificial Intelligence,BSc IT,AI Engineer,5,4.5,Hard,Deep Learning Engineer,6-10 LPA
C0133,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,Diploma,Security Analyst,6,4.7,Hard,Ethical Hacker,6-10 LPA
C0134,Artificial Intelligence,AI & ML,Advanced,"Python, Machine Learning, Algorithms",Artificial Intelligence,12th Pass,ML Engineer,6,4.9,Hard,AI Engineer,3-5 LPA
C0148,Artificial Intelligence,AI & ML,Advanced,"Python, Machine Learning, Algorithms",Artificial Intelligence,Diploma,ML Engineer,6,4.2,Hard,AI Engineer,8-12 LPA
C0169,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,BSc IT,Security Analyst,6,4.9,Hard,Ethical Hacker,3-5 LPA
C0189,Artificial Intelligence,AI & ML,Advanced,"Python, Machine Learning, Algorithms",Artificial Intelligence,BSc IT,Data Scientist,5,4.3,Hard,AI Engineer,3-5 LPA
C0190,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,Diploma,Security Analyst,7,5.0,Hard,Ethical Hacker,5-8 LPA
C0200,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,Diploma,Security Analyst,6,4.5,Hard,Ethical Hacker,4-7 LPA
C0203,Artificial Intelligence,AI & ML,Advanced,"Python, Machine Learning, Algorithms",Artificial Intelligence,Diploma,ML Engineer,6,4.3,Hard,AI Engineer,6-10 LPA
C0211,Artificial Intelligence,AI & ML,Advanced,"Python, Machine Learning, Algorithms",Artificial Intelligence,BSc IT,ML Engineer,6,4.8,Hard,AI Engineer,8-12 LPA
C0229,DevOps,Cloud,Advanced,"Linux, Git, Docker, CI/CD",DevOps,Diploma,DevOps Engineer,5,4.7,Hard,DevOps Engineer,5-8 LPA
C0236,DevOps,Cloud,Advanced,"Linux, Git, Docker, CI/CD",DevOps,Diploma,DevOps Engineer,5,4.3,Hard,DevOps Engineer,5-8 LPA
C0240,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,Diploma,Cyber Security Engineer,5,4.4,Hard,Ethical Hacker,3-5 LPA
C0247,Deep Learning,AI & ML,Advanced,"Python, TensorFlow, Neural Networks",Artificial Intelligence,12th Pass,AI Engineer,6,4.4,Hard,Deep Learning Engineer,5-8 LPA
C0250,DevOps,Cloud,Advanced,"Linux, Git, Docker, CI/CD",DevOps,12th Pass,Cloud Engineer,5,4.9,Hard,DevOps Engineer,8-12 LPA
C0253,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,12th Pass,Cyber Security Engineer,6,4.1,Hard,Ethical Hacker,5-8 LPA
C0263,Deep Learning,AI & ML,Advanced,"Python, TensorFlow, Neural Networks",Artificial Intelligence,BE/BTech,AI Developer,7,3.8,Hard,Deep Learning Engineer,3-5 LPA
C0265,DevOps,Cloud,Advanced,"Linux, Git, Docker, CI/CD",DevOps,BE/BTech,Cloud Engineer,5,4.1,Hard,DevOps Engineer,3-5 LPA
C0270,DevOps,Cloud,Advanced,"Linux, Git, Docker, CI/CD",DevOps,12th Pass,Cloud Engineer,5,4.8,Hard,DevOps Engineer,6-10 LPA
C0273,Deep Learning,AI & ML,Advanced,"Python, TensorFlow, Neural Networks",Artificial Intelligence,Diploma,Data Scientist,7,4.2,Hard,Deep Learning Engineer,6-10 LPA
C0280,DevOps,Cloud,Advanced,"Linux, Git, Docker, CI/CD",DevOps,BSc IT,Cloud Engineer,5,3.9,Hard,DevOps Engineer,8-12 LPA
C0298,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,BE/BTech,Cyber Security Engineer,6,4.9,Hard,Ethical Hacker,4-7 LPA
C0342,Artificial Intelligence,AI & ML,Advanced,"Python, Machine Learning, Algorithms",Artificial Intelligence,12th Pass,ML Engineer,6,3.9,Hard,AI Engineer,4-7 LPA
C0355,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,BSc IT,Cyber Security Engineer,6,4.5,Hard,Ethical Hacker,5-8 LPA
C0361,DevOps,Cloud,Advanced,"Linux, Git, Docker, CI/CD",DevOps,BE/BTech,DevOps Engineer,4,4.9,Hard,DevOps Engineer,3-5 LPA
C0374,Artificial Intelligence,AI & ML,Advanced,"Python, Machine Learning, Algorithms",Artificial Intelligence,Diploma,AI Developer,7,4.7,Hard,AI Engineer,4-7 LPA
C0384,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,Diploma,Cyber Security Engineer,6,4.5,Hard,Ethical Hacker,6-10 LPA
C0414,Deep Learning,AI & ML,Advanced,"Python, TensorFlow, Neural Networks",Artificial Intelligence,BE/BTech,AI Engineer,6,4.0,Hard,Deep Learning Engineer,8-12 LPA
C0432,Deep Learning,AI & ML,Advanced,"Python, TensorFlow, Neural Networks",Artificial Intelligence,BSc IT,Data Scientist,7,4.9,Hard,Deep Learning Engineer,6-10 LPA
C0437,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,BSc IT,Security Analyst,6,4.6,Hard,Ethical Hacker,5-8 LPA
C0441,Artificial Intelligence,AI & ML,Advanced,"Python, Machine Learning, Algorithms",Artificial Intelligence,BCA,Data Scientist,6,4.6,Hard,AI Engineer,8-12 LPA
C0445,Artificial Intelligence,AI & ML,Advanced,"Python, Machine Learning, Algorithms",Artificial Intelligence,BSc IT,AI Developer,5,3.9,Hard,AI Engineer,5-8 LPA
C0474,Artificial Intelligence,AI & ML,Advanced,"Python, Machine Learning, Algorithms",Artificial Intelligence,BCA,AI Developer,5,5.0,Hard,AI Engineer,4-7 LPA
C0483,Ethical Hacking,Cyber Security,Advanced,"Linux, Networking, Security Tools",Cyber Security,BE/BTech,Security Analyst,6,4.0,Hard,Ethical Hacker,5-8 LPA
C0487,Deep Learning,AI & ML,Advanced,"Python, TensorFlow, Neural Networks",Artificial Intelligence,12th Pass,ML Engineer,7,4.6,Hard,Deep Learning Engineer,3-5 LPA
C0490,Deep Learning,AI & ML,Advanced,"Python, TensorFlow, Neural Networks",Artificial Intelligence,BE/BTech,ML Engineer,6,3.9,Hard,Deep Learning Engineer,8-12 LPA
